region,latitude,longitude,price_czk,area_m2,vlastnictvi,energ_stitek,dist_vecerka_m,dist_obchod_m,dist_tram_m,dist_metro_m,dist_bus_mhd_m,url,construction,condition,floor,city,district,heating,rooms,kitchen,price_per_m2
Ústecký kraj,50.6860018,13.8812257,1060000.0,35,2,1.0,191.0,3038.0,,,194.0,https://www.sreality.cz/detail/prodej/byt/1+1/krupka-marsov-karla-capka/910610508,Panelová,3.0,4.0,Krupka,Maršov,Centrální dálkové,1.0,1.0,30285.714285714286
Moravskoslezský kraj,49.87858566,18.43634562,1070000.0,33,2,1.0,29.0,568.0,,,387.0,https://www.sreality.cz/detail/prodej/byt/1+kk/orlova-lutyne-f-s-tumy/1299165260,Panelová,3.0,11.0,Orlová,Lutyně,,1.0,0.0,32424.242424242424
Ústecký kraj,50.68615904,13.88158929,1070000.0,62,2,1.0,241.0,3087.0,,,239.0,https://www.sreality.cz/detail/prodej/byt/2+1/krupka-marsov-karla-capka/1009758284,Panelová,5.0,2.0,Krupka,Maršov,Ústřední dálkové,2.0,1.0,17258.064516129034
Moravskoslezský kraj,49.67037237,18.67367683,1070000.0,17,2,1.0,164.0,186.0,,,147.0,https://www.sreality.cz/detail/prodej/byt/1+kk/trinec-trinec-lidicka/826916940,Panelová,2.0,3.0,Třinec, Frýdek-Místek,,1.0,0.0,62941.17647058824
Liberecký kraj,50.76204194,15.038293,4594288.0,39,2,6.0,63.0,1202.0,291.0,,241.0,https://www.sreality.cz/detail/prodej/byt/1+kk/liberec-liberec-x-frantiskov-tovarni/1888342092,Smíšená,7.0,2.0,Liberec,Liberec X-Františkov,Centrální dálkové,1.0,0.0,117802.2564102564
Karlovarský kraj,50.21228589,12.74267769,1080000.0,20,1,1.0,133.0,4341.0,,,200.0,https://www.sreality.cz/detail/prodej/byt/1+kk/nove-sedlo-nove-sedlo-sadova/3798257740,Panelová,2.0,5.0,Nové Sedlo, Sokolov,Ústřední dálkové,1.0,0.0,54000.0
Ústecký kraj,50.681074,14.1171685,1090000.0,99,1,1.0,90.0,,,,126.0,https://www.sreality.cz/detail/prodej/byt/4+1/usti-nad-labem-mojzir-jindricha-plachty/410570828,Panelová,3.0,5.0,Ústí nad Labem,Mojžíř,Ústřední dálkové,4.0,1.0,11010.10101010101
Ústecký kraj,50.48898711,13.44299445,1090000.0,36,2,5.0,70.0,500.0,,,116.0,https://www.sreality.cz/detail/prodej/byt/1+1/chomutov-chomutov-pisecna/1220010060,Panelová,4.0,5.0,Chomutov,Chomutov,Ústřední dálkové,1.0,1.0,30277.777777777777
Královéhradecký kraj,50.49516028,15.72751693,1090000.0,70,0,1.0,2299.0,,,,64.0,https://www.sreality.cz/detail/prodej/byt/2+1/mostek-debrne-/2413137996,Smíšená,2.0,2.0,Mostek,Debrné,"Elektrokotel, Krbová kamna, Kotel na tuhá paliva",2.0,1.0,15571.42857142857
Moravskoslezský kraj,49.87198413,18.42951189,1099000.0,39,2,5.0,75.0,288.0,,,302.0,https://www.sreality.cz/detail/prodej/byt/1+1/orlova-lutyne-osvobozeni/3555909708,Panelová,5.0,1.0,Orlová,Lutyně,Ústřední dálkové,1.0,1.0,28179.48717948718
Ústecký kraj,50.593099,13.56941,1099000.0,73,2,1.0,114.0,2428.0,2490.0,,60.0,https://www.sreality.cz/detail/prodej/byt/4+1/litvinov-janov-hamerska/3626537036,Panelová,5.0,1.0,Litvínov,Janov,Centrální dálkové,4.0,1.0,15054.794520547945
Ústecký kraj,50.501814,13.699671,1100000.0,64,1,1.0,46.0,3509.0,3007.0,,121.0,https://www.sreality.cz/detail/prodej/byt/3+kk/obrnice-obrnice-nova-vystavba/3192980300,Panelová,3.0,2.0,Obrnice, Most,,3.0,0.0,17187.5
Ústecký kraj,50.686294,13.882612,1100000.0,64,2,1.0,269.0,3106.0,,,186.0,https://www.sreality.cz/detail/prodej/byt/2+1/krupka-marsov-karla-capka/2654986316,Panelová,5.0,2.0,Krupka,Maršov,Ústřední dálkové,2.0,1.0,17187.5
Moravskoslezský kraj,49.87858566,18.43634562,1100000.0,33,2,1.0,29.0,568.0,,,387.0,https://www.sreality.cz/detail/prodej/byt/1+kk/orlova-lutyne-f-s-tumy/3142452044,Panelová,4.0,5.0,Orlová,Lutyně,Centrální dálkové,1.0,0.0,33333.333333333336
Moravskoslezský kraj,49.87754932,18.43751919,1119000.0,32,2,1.0,104.0,370.0,,,129.0,https://www.sreality.cz/detail/prodej/byt/1+kk/orlova-lutyne-f-s-tumy/1253589836,Panelová,3.0,8.0,Orlová,Lutyně,Ústřední dálkové,1.0,0.0,34968.75
Ústecký kraj,50.50504756,13.4353882,1119790.0,36,2,4.0,63.0,888.0,,,198.0,https://www.sreality.cz/detail/prodej/byt/1+1/jirkov-jirkov-k-marxe/1119858764,Panelová,3.0,4.0,Jirkov, Chomutov,Ústřední dálkové,1.0,1.0,31105.277777777777
Ústecký kraj,50.50519379,13.43601258,1150000.0,35,2,1.0,59.0,868.0,,,162.0,https://www.sreality.cz/detail/prodej/byt/1+1/jirkov-jirkov-k-marxe/870965324,Panelová,5.0,1.0,Jirkov, Chomutov,Ústřední dálkové,1.0,1.0,32857.142857142855
Ústecký kraj,50.48599,13.438196,1150000.0,36,2,4.0,186.0,469.0,,,71.0,https://www.sreality.cz/detail/prodej/byt/1+1/chomutov-chomutov-pisecna/3446853708,Panelová,5.0,4.0,Chomutov,Chomutov,Ústřední dálkové,1.0,1.0,31944.444444444445
Ústecký kraj,50.45352042,14.3735598,1150000.0,14,1,4.0,16.0,277.0,,,232.0,https://www.sreality.cz/detail/prodej/byt/1+kk/steti-steti-kratka/2414526540,Cihlová,5.0,1.0,Štětí, Litoměřice,,1.0,0.0,82142.85714285714
Ústecký kraj,50.95156723,14.55734981,1150000.0,25,2,1.0,119.0,506.0,,,79.0,https://www.sreality.cz/detail/prodej/byt/1+kk/rumburk-rumburk-1-namesti-dobrovskeho/2638463052,Panelová,3.0,1.0,Rumburk,Rumburk 1,,1.0,0.0,46000.0
Karlovarský kraj,50.13843961,12.79786454,1150000.0,33,1,4.0,102.0,,,,222.0,https://www.sreality.cz/detail/prodej/byt/1+1/horni-slavkov-horni-slavkov-dlouha/947765324,Cihlová,4.0,1.0,Horní Slavkov, Sokolov,Ústřední dálkové,1.0,1.0,34848.48484848485
Pardubický kraj,50.0660101,15.98589845,1169000.0,25,2,6.0,319.0,,,,415.0,https://www.sreality.cz/detail/prodej/byt/1+kk/holice-holice-/3100287052,Cihlová,7.0,1.0,Holice, Pardubice,Radiátory,1.0,0.0,46760.0
Karlovarský kraj,49.96557152,12.66425734,1170000.0,89,1,1.0,576.0,2253.0,,,147.0,https://www.sreality.cz/detail/prodej/byt/3+1/velka-hledsebe-klimentov-/1044726604,Smíšená,5.0,1.0,Velká Hleďsebe,Klimentov,Kotel na tuhá paliva,3.0,1.0,13146.067415730337
Ústecký kraj,50.73859402,14.30215729,1170000.0,25,1,1.0,376.0,,,,259.0,https://www.sreality.cz/detail/prodej/byt/1+kk/benesov-nad-ploucnici-benesov-nad-ploucnici-nadrazni/3078701900,Cihlová,3.0,3.0,Benešov nad Ploučnicí, Děčín,Přímotop,1.0,0.0,46800.0
Moravskoslezský kraj,49.798624,18.397918,1170000.0,27,2,6.0,33.0,1733.0,,,161.0,https://www.sreality.cz/detail/prodej/byt/1+kk/havirov-sumbark-lidicka/95801420,Panelová,2.0,4.0,Havířov,Šumbark,Centrální dálkové,1.0,0.0,43333.333333333336
Ústecký kraj,50.73857573,14.30199539,1170000.0,23,1,1.0,382.0,,,,260.0,https://www.sreality.cz/detail/prodej/byt/1+kk/benesov-nad-ploucnici-benesov-nad-ploucnici-nadrazni/2472722508,Panelová,3.0,2.0,Benešov nad Ploučnicí, Děčín,Přímotop,1.0,0.0,50869.565217391304
Moravskoslezský kraj,49.86947615,18.43321243,1180000.0,29,2,5.0,379.0,544.0,,,581.0,https://www.sreality.cz/detail/prodej/byt/1+kk/orlova-lutyne-kvetinova/3877294156,Panelová,5.0,2.0,Orlová,Lutyně,Ústřední dálkové,1.0,0.0,40689.65517241379
Ústecký kraj,50.38807296,13.17647097,1190000.0,25,2,1.0,46.0,150.0,,,241.0,https://www.sreality.cz/detail/prodej/byt/1+kk/klasterec-nad-ohri-klasterec-nad-ohri-budovatelska/1630527564,Panelová,2.0,6.0,Klášterec nad Ohří, Chomutov,Ústřední dálkové,1.0,0.0,47600.0
Ústecký kraj,50.67449588,14.10625215,1190000.0,22,2,1.0,255.0,,,,102.0,https://www.sreality.cz/detail/prodej/byt/1+kk/usti-nad-labem-nestemice-mlynska/1668190284,Panelová,3.0,4.0,Ústí nad Labem,Neštěmice,,1.0,0.0,54090.90909090909
Moravskoslezský kraj,49.7983462,17.67013218,1190000.0,47,2,1.0,2913.0,,,,125.0,https://www.sreality.cz/detail/prodej/byt/2+1/svatonovice-svatonovice-/1537561420,Panelová,2.0,2.0,Svatoňovice, Opava,,2.0,1.0,25319.14893617021
Ústecký kraj,50.68458153,13.89227363,1190000.0,63,2,5.0,269.0,3106.0,,,186.0,https://www.sreality.cz/detail/prodej/byt/2+1/krupka-marsov-/341992268,Panelová,3.0,6.0,Krupka,Maršov,,2.0,1.0,18888.88888888889
Ústecký kraj,50.68458153,13.89227363,1190000.0,63,2,6.0,269.0,3106.0,,,186.0,https://www.sreality.cz/detail/prodej/byt/2+1/krupka-marsov-/627204940,Panelová,3.0,2.0,Krupka,Maršov,,2.0,1.0,18888.88888888889
Moravskoslezský kraj,49.87570048,18.42858121,1190000.0,51,2,5.0,366.0,402.0,,,104.0,https://www.sreality.cz/detail/prodej/byt/1+1/orlova-lutyne-energetiku/3096100940,Panelová,4.0,5.0,Orlová,Lutyně,,1.0,1.0,23333.333333333332
Olomoucký kraj,50.39353008,17.0072667,1190000.0,35,1,5.0,230.0,,,,223.0,https://www.sreality.cz/detail/prodej/byt/1+kk/javornik-javornik-janosikova/806076492,Panelová,2.0,2.0,Javorník, Jeseník,Ústřední plynové,1.0,0.0,34000.0
Karlovarský kraj,50.1641226,12.57893475,1199000.0,48,1,1.0,217.0,,,,122.0,https://www.sreality.cz/detail/prodej/byt/2+1/bukovany-bukovany-/2783077196,Panelová,3.0,2.0,Bukovany, Sokolov,Ústřední dálkové,2.0,1.0,24979.166666666668
Ústecký kraj,50.590044,13.564433,1199000.0,75,1,1.0,24.0,2787.0,2788.0,,37.0,https://www.sreality.cz/detail/prodej/byt/3+kk/litvinov-janov-gluckova/4160901964,Panelová,5.0,5.0,Litvínov,Janov,Centrální dálkové,3.0,0.0,15986.666666666666
Karlovarský kraj,50.12932823,12.5523755,1199000.0,67,1,3.0,62.0,1943.0,,,81.0,https://www.sreality.cz/detail/prodej/byt/3+1/libavske-udoli-libavske-udoli-/4093109068,Cihlová,5.0,3.0,Libavské Údolí, Sokolov,Elektrokotel,3.0,1.0,17895.5223880597
Karlovarský kraj,50.304555,12.554078,1200000.0,53,1,5.0,109.0,,,,42.0,https://www.sreality.cz/detail/prodej/byt/2+1/rotava-rotava-sidliste/2368004172,Panelová,5.0,5.0,Rotava, Sokolov,Ústřední dálkové,2.0,1.0,22641.509433962263
